grunnkrets_id,year,couple_children_0_to_5_years,couple_children_18_or_above,couple_children_6_to_17_years,couple_without_children,single_parent_children_0_to_5_years,single_parent_children_18_or_above,single_parent_children_6_to_17_years,singles
12010509,2015,0,0,4,0,0,0,0,4
14390206,2015,0,7,0,0,0,0,0,3
18040514,2015,10,0,0,0,0,0,0,7
18040804,2015,0,0,0,0,0,0,0,0
18200101,2015,0,6,0,0,0,0,0,4
20220105,2015,0,0,25,0,0,0,0,3
2130506,2015,0,0,8,0,0,0,0,9
5110206,2015,0,0,4,0,0,0,0,7
5170101,2015,0,0,0,0,4,0,0,24
5420310,2015,0,0,0,0,0,0,0,0
3014008,2015,0,0,13,4,0,0,0,16
1066203,2015,12,0,0,6,0,0,0,10
2310112,2015,0,7,4,6,0,0,0,11
10460102,2015,9,0,12,8,0,0,0,4
12530209,2015,6,0,7,8,0,0,0,0
15660105,2015,0,0,5,8,0,0,0,3
17360111,2015,16,0,35,8,0,0,0,9
4121209,2015,0,0,0,8,0,0,0,12
5110108,2015,15,0,4,8,0,0,0,12
1052504,2015,0,15,33,12,0,0,0,5
8330103,2015,21,10,0,12,0,0,0,6
16015309,2015,0,9,17,14,0,0,0,10
18040607,2015,11,0,22,14,0,0,0,9
5290509,2015,14,10,38,14,0,0,0,18
15460109,2015,0,0,0,16,0,0,0,5
18130102,2015,0,0,0,16,0,0,0,13
11030613,2015,20,0,11,18,0,0,0,9
14290211,2015,0,9,18,18,0,0,0,10
15760111,2015,0,6,10,18,0,0,0,12
19030505,2015,20,0,9,18,0,0,0,5
10370301,2015,23,23,28,22,0,0,0,11
11060510,2015,12,0,0,22,0,0,0,85
15430113,2015,8,12,19,22,0,0,0,13
5190207,2015,26,13,10,22,0,0,0,12
11240501,2015,14,18,15,24,0,0,0,23
14280203,2015,25,10,14,24,0,0,0,18
4121222,2015,42,15,36,24,0,0,0,21
11340205,2015,24,0,16,26,0,0,0,9
14190106,2015,13,9,0,26,0,0,0,3
11140105,2015,21,12,34,30,0,0,0,9
15250110,2015,0,10,27,30,0,0,0,11
8190202,2015,34,12,25,30,0,0,0,62
1250201,2015,13,10,30,32,0,0,0,22
4121106,2015,4,9,0,32,0,0,0,29
9190114,2015,16,0,33,32,0,0,0,6
11330104,2015,19,13,45,34,0,0,0,22
2140227,2015,16,10,23,34,0,0,0,18
18670103,2015,4,0,15,40,0,0,0,22
2380305,2015,26,13,36,44,0,0,0,26
4180101,2015,40,20,43,44,0,0,0,28
17560204,2015,39,23,50,46,0,0,0,28
8061204,2015,35,20,18,54,6,0,0,66
7040906,2015,13,0,16,58,0,0,0,114
8300102,2015,20,13,35,58,0,0,0,41
5010406,2015,16,26,47,60,0,0,0,23
16013125,2015,0,0,7,66,0,0,0,195
18340112,2015,31,34,64,78,6,0,0,71
12240305,2015,10,0,8,0,0,4,0,3
6320104,2015,12,0,13,4,0,4,0,8
9290101,2015,7,6,12,20,0,4,0,21
19170107,2015,0,6,7,28,0,4,0,19
12600207,2015,31,15,15,34,0,4,0,12
5410112,2015,28,0,30,40,0,4,0,29
15140103,2015,18,30,63,48,10,4,0,49
4250404,2015,41,0,14,50,0,4,0,43
14310208,2015,23,18,16,14,0,6,0,18
7060405,2015,43,18,18,30,0,6,0,25
14320301,2015,19,17,28,14,0,7,0,24
5220203,2015,13,9,38,26,0,7,0,17
16480303,2015,29,9,38,26,0,8,0,19
19230110,2015,0,6,11,26,5,8,0,27
5140101,2015,20,23,15,28,0,9,0,28
14450204,2015,35,15,23,10,0,11,0,17
14320102,2015,54,43,64,56,9,11,0,29
11440105,2015,0,0,0,0,0,0,0,3
12010612,2015,0,0,0,0,0,0,0,5
2160508,2015,0,0,8,0,0,0,0,0
6020714,2015,0,0,0,0,0,0,0,3
18040602,2015,0,0,0,4,0,0,0,8
18480102,2015,0,13,4,4,0,0,0,14
12530101,2015,4,0,0,6,0,0,0,3
18040401,2015,0,0,0,6,0,0,0,10
18380208,2015,0,10,0,6,0,0,0,9
4280205,2015,0,0,0,6,0,0,0,7
17240102,2015,18,6,0,8,0,0,0,6
11032716,2015,37,0,51,10,0,0,0,3
11060912,2015,0,0,0,10,0,0,0,4
11440102,2015,14,0,0,10,0,0,0,5
12240803,2015,0,0,9,10,0,0,0,16
14300117,2015,0,20,16,10,0,0,0,10
17190302,2015,24,0,6,10,0,0,0,9
4230204,2015,0,9,10,12,0,0,0,8
5120102,2015,13,0,0,12,0,0,0,4
2191935,2015,8,7,0,14,0,0,0,19
4360111,2015,0,4,8,14,0,0,0,16
12010810,2015,18,0,28,16,0,0,0,9
14010205,2015,0,4,12,16,0,0,0,4
15050805,2015,9,9,17,16,4,0,0,5
17500201,2015,0,19,0,16,0,0,0,15
19360209,2015,16,0,0,16,0,0,0,25
11190214,2015,33,13,23,18,0,0,0,19
12420106,2015,15,10,0,18,0,0,0,9
14170110,2015,17,0,10,18,0,0,0,19
18041205,2015,13,0,0,18,0,0,0,7
18200110,2015,14,0,16,18,0,0,0,15
18670107,2015,0,9,0,18,0,0,0,15
18600205,2015,24,0,0,20,9,0,0,55
6220208,2015,10,0,13,20,0,0,0,19
9040408,2015,37,9,22,20,7,0,0,8
12640112,2015,0,0,5,22,0,0,0,12
8060501,2015,23,8,30,22,0,0,0,26
11340102,2015,17,0,38,24,0,0,0,17
7020308,2015,4,6,9,24,0,0,0,9
1052510,2015,0,11,31,26,0,0,0,15
19130104,2015,14,19,12,28,0,0,0,13
18520103,2015,0,0,11,32,0,0,0,8
7140202,2015,19,13,9,32,0,0,0,19
16013121,2015,68,15,59,36,0,0,0,79
19270102,2015,11,10,31,36,0,0,0,29
5160103,2015,0,0,22,36,0,0,0,20
6230104,2015,21,22,44,44,0,0,0,27
8060607,2015,21,13,17,48,4,0,0,35
15020607,2015,33,34,40,50,0,0,0,27
14380106,2015,0,0,9,6,0,4,0,5
