grunnkrets_id,year,all_households,singles,couple_without_children,couple_with_children,other_households,single_parent_with_children
14200105,2016,551700,270300,0,0,0,0
2311202,2015,577700,311800,0,682300,0,0
2310501,2015,668800,292500,0,842000,0,0
14200401,2016,507000,250700,0,0,0,0
14200105,2015,539900,275800,0,710300,0,0
14200103,2015,539900,275800,0,710300,0,0
2311201,2015,577700,311800,0,682300,0,0
2310503,2015,668800,292500,0,842000,0,0
14200101,2015,539900,275800,0,710300,0,0
14200102,2015,539900,275800,0,710300,0,0
2310504,2015,668800,292500,0,842000,0,0
14200402,2016,507000,250700,0,0,0,0
14200101,2016,551700,270300,0,0,0,0
14200103,2016,551700,270300,0,0,0,0
14200102,2016,551700,270300,0,0,0,0
2310505,2015,668800,292500,0,842000,0,0
14200104,2015,539900,275800,0,710300,0,0
2310502,2015,668800,292500,0,842000,0,0
14200104,2016,551700,270300,0,0,0,0
14200401,2015,505600,256600,0,716300,0,0
14200402,2015,505600,256600,0,716300,0,0
2310503,2016,645000,301200,0,882400,911500,0
2310502,2016,645000,301200,0,882400,911500,0
2310505,2016,645000,301200,0,882400,911500,0
2310501,2016,645000,301200,0,882400,911500,0
2310504,2016,645000,301200,0,882400,911500,0
2311202,2016,564600,302200,0,714600,827100,0
2311201,2016,564600,302200,0,714600,827100,0
12520102,2015,539700,306700,0,803800,719100,0
12520101,2015,539700,306700,0,803800,719100,0
16400208,2015,477800,256700,524800,671700,717400,380900
16400201,2015,477800,256700,524800,671700,717400,380900
16400207,2015,477800,256700,524800,671700,717400,380900
16400206,2015,477800,256700,524800,671700,717400,380900
16400210,2015,477800,256700,524800,671700,717400,380900
16400202,2015,477800,256700,524800,671700,717400,380900
16400209,2015,477800,256700,524800,671700,717400,380900
16400203,2015,477800,256700,524800,671700,717400,380900
16400204,2015,477800,256700,524800,671700,717400,380900
11200403,2015,623300,297700,656000,821500,905900,400900
11200402,2015,623300,297700,656000,821500,905900,400900
11200401,2015,623300,297700,656000,821500,905900,400900
11200404,2015,623300,297700,656000,821500,905900,400900
2330501,2016,596800,317300,656000,904300,878000,476700
2330504,2016,596800,317300,656000,904300,878000,476700
2330505,2016,596800,317300,656000,904300,878000,476700
2330502,2016,596800,317300,656000,904300,878000,476700
18710103,2016,483800,272100,624000,805800,755200,384700
18710101,2016,483800,272100,624000,805800,755200,384700
18710111,2016,483800,272100,624000,805800,755200,384700
18710106,2016,483800,272100,624000,805800,755200,384700
18710102,2016,483800,272100,624000,805800,755200,384700
18710109,2016,483800,272100,624000,805800,755200,384700
18710105,2016,483800,272100,624000,805800,755200,384700
18710110,2016,483800,272100,624000,805800,755200,384700
18710108,2016,483800,272100,624000,805800,755200,384700
18710104,2016,483800,272100,624000,805800,755200,384700
18710107,2016,483800,272100,624000,805800,755200,384700
19190106,2015,420000,250300,508800,698000,780700,436800
19190109,2015,420000,250300,508800,698000,780700,436800
19190108,2015,420000,250300,508800,698000,780700,436800
19190103,2015,420000,250300,508800,698000,780700,436800
19190107,2015,420000,250300,508800,698000,780700,436800
19190110,2015,420000,250300,508800,698000,780700,436800
19190102,2015,420000,250300,508800,698000,780700,436800
19190104,2015,420000,250300,508800,698000,780700,436800
19190101,2015,420000,250300,508800,698000,780700,436800
19190105,2015,420000,250300,508800,698000,780700,436800
6240401,2016,476800,279500,592000,757900,750400,397900
6240403,2016,476800,279500,592000,757900,750400,397900
6240406,2016,476800,279500,592000,757900,750400,397900
6240410,2016,476800,279500,592000,757900,750400,397900
6240404,2016,476800,279500,592000,757900,750400,397900
6240402,2016,476800,279500,592000,757900,750400,397900
6240409,2016,476800,279500,592000,757900,750400,397900
6240408,2016,476800,279500,592000,757900,750400,397900
6240405,2016,476800,279500,592000,757900,750400,397900
6240407,2016,476800,279500,592000,757900,750400,397900
7060701,2015,524900,263300,592000,790200,761800,374600
7060713,2015,524900,263300,592000,790200,761800,374600
7060702,2015,524900,263300,592000,790200,761800,374600
7060703,2015,524900,263300,592000,790200,761800,374600
7060715,2015,524900,263300,592000,790200,761800,374600
7060712,2015,524900,263300,592000,790200,761800,374600
7060710,2015,524900,263300,592000,790200,761800,374600
7060708,2015,524900,263300,592000,790200,761800,374600
7060705,2015,524900,263300,592000,790200,761800,374600
7060717,2015,524900,263300,592000,790200,761800,374600
7060704,2015,524900,263300,592000,790200,761800,374600
7060707,2015,524900,263300,592000,790200,761800,374600
7060711,2015,524900,263300,592000,790200,761800,374600
7060714,2015,524900,263300,592000,790200,761800,374600
7060709,2015,524900,263300,592000,790200,761800,374600
7060706,2015,524900,263300,592000,790200,761800,374600
7060716,2015,524900,263300,592000,790200,761800,374600
8050406,2015,469300,252700,592000,809500,722400,381100
8050403,2015,469300,252700,592000,809500,722400,381100
8050405,2015,469300,252700,592000,809500,722400,381100
8050404,2015,469300,252700,592000,809500,722400,381100
8050407,2015,469300,252700,592000,809500,722400,381100
8050401,2015,469300,252700,592000,809500,722400,381100
8050402,2015,469300,252700,592000,809500,722400,381100
8070203,2016,517700,274700,592000,725300,788600,368600
8070207,2016,517700,274700,592000,725300,788600,368600
8070213,2016,517700,274700,592000,725300,788600,368600
8070209,2016,517700,274700,592000,725300,788600,368600
8070201,2016,517700,274700,592000,725300,788600,368600
8070206,2016,517700,274700,592000,725300,788600,368600
8070204,2016,517700,274700,592000,725300,788600,368600
8070211,2016,517700,274700,592000,725300,788600,368600
8070210,2016,517700,274700,592000,725300,788600,368600
8070202,2016,517700,274700,592000,725300,788600,368600
8070205,2016,517700,274700,592000,725300,788600,368600
8070212,2016,517700,274700,592000,725300,788600,368600
8070208,2016,517700,274700,592000,725300,788600,368600
8061304,2015,690100,275800,723200,832100,925500,430800
8061301,2015,690100,275800,723200,832100,925500,430800
8061302,2015,690100,275800,723200,832100,925500,430800
8061303,2015,690100,275800,723200,832100,925500,430800
17480102,2015,476000,262000,528000,701600,730100,356800
17480101,2015,476000,262000,528000,701600,730100,356800
17480104,2015,476000,262000,528000,701600,730100,356800
17480103,2015,476000,262000,528000,701600,730100,356800
5330302,2016,631400,290400,659200,822200,896200,409300
5330301,2016,631400,290400,659200,822200,896200,409300
5330303,2016,631400,290400,659200,822200,896200,409300
5330304,2016,631400,290400,659200,822200,896200,409300
3015201,2015,624300,324200,790400,1068200,874300,492000
3015210,2015,624300,324200,790400,1068200,874300,492000
3015202,2015,624300,324200,790400,1068200,874300,492000
3015203,2015,624300,324200,790400,1068200,874300,492000
3015207,2015,624300,324200,790400,1068200,874300,492000
3015206,2015,624300,324200,790400,1068200,874300,492000
3015209,2015,624300,324200,790400,1068200,874300,492000
3015204,2015,624300,324200,790400,1068200,874300,492000
3015205,2015,624300,324200,790400,1068200,874300,492000
3015208,2015,624300,324200,790400,1068200,874300,492000
2290301,2015,583200,289700,627200,779600,893700,422300
2290305,2015,583200,289700,627200,779600,893700,422300
